Series,Time,Value
CU-S0040,2019-02-21,55.1236
CU-S0040,2019-02-22,48.40279671717172
CU-S0040,2019-02-23,58.85827020202021
CU-S0040,2019-02-24,69.59761904761905
CU-S0040,2019-02-25,40.774848484848484
CU-S0040,2019-02-26,57.195767045454545
CU-S0040,2019-02-27,51.336489898989896
CU-S0040,2019-02-28,55.8704761904762
CU-S0040,2019-03-01,37.21583333333333
CU-S0040,2019-03-02,43.252430555555556
CU-S0040,2019-03-03,47.78472222222222
CU-S0040,2019-03-04,57.621874999999996
CU-S0040,2019-03-05,57.798809523809524
CU-S0040,2019-03-07,42.43839393939394
CU-S0040,2019-03-08,70.02083333333333
CU-S0040,2019-03-09,64.6906862745098
CU-S0040,2019-03-12,108.47869791666666
CU-S0040,2019-03-13,141.246875
CU-S0040,2019-03-14,143.23541666666665
CU-S0040,2019-03-15,127.50486111111111
CU-S0040,2019-03-16,95.52743055555555
CU-S0040,2019-03-17,58.94166666666667
CU-S0040,2019-03-18,66.38613636363637
CU-S0040,2019-03-19,34.48230324074074
CU-S0040,2019-03-20,33.65416666666667
CU-S0040,2019-03-22,88.02055555555556
CU-S0040,2019-03-23,106.26597222222222
CU-S0040,2019-03-24,98.27409722222222
CU-S0040,2019-03-25,41.21703001165501
CU-S0040,2019-03-26,36.250347222222224
CU-S0040,2019-03-27,25.587699724517904
CU-S0040,2019-03-28,27.98472222222222
CU-S0040,2019-04-01,78.44716666666666
CU-S0040,2019-04-08,29.7078431372549
CU-S0040,2019-04-09,38.45050505050505
CU-S0040,2019-04-11,71.25291666666666
CU-S0040,2019-04-12,89.44388888888889
CU-S0040,2019-04-13,39.24038383838384
CU-S0040,2019-04-14,40.45298611111111
CU-S0040,2019-04-15,34.654513888888886
CU-S0040,2019-04-16,38.26355742296919
CU-S0040,2019-04-17,47.53263888888889
CU-S0040,2019-04-18,35.72077876984127
CU-S0040,2019-04-19,37.04302083333334
CU-S0040,2019-04-20,45.229513888888896
CU-S0040,2019-04-21,55.78532828282828
CU-S0040,2019-04-22,36.09214365881033
CU-S0040,2019-04-23,29.75595365418895
CU-S0040,2019-04-24,34.098506944444445
CU-S0040,2019-04-25,42.84359018759019
CU-S0040,2019-04-26,37.76656785243742
CU-S0040,2019-04-28,28.06574569221628
CU-S0040,2019-04-29,27.26959156785244
CU-S0040,2019-04-30,33.07590909090909
CU-S0040,2019-05-01,35.98274305555555
CU-S0040,2019-05-02,56.972575757575754
CU-S0040,2019-05-03,53.054479978354976
CU-S0040,2019-05-04,32.15416666666667
CU-S0040,2019-05-05,27.246153846153845
CU-S0040,2019-05-06,30.532545454545456
CU-S0040,2019-05-07,34.13833333333333
CU-S0040,2019-05-08,29.582459893048128
CU-S0040,2019-05-10,27.543499999999995
CU-S0040,2019-05-11,26.07013888888889
CU-S0040,2019-05-12,26.37530864197531
CU-S0041,2019-02-13,51.125
CU-S0041,2019-02-14,58.16631944444445
CU-S0041,2019-02-15,60.352967171717175
CU-S0041,2019-02-16,49.89510732323232
CU-S0041,2019-02-17,26.50578914141414
CU-S0041,2019-02-18,27.838235479797977
CU-S0041,2019-02-19,61.61041666666667
CU-S0041,2019-02-20,41.18566287878787
CU-S0041,2019-02-21,55.71305555555555
CU-S0041,2019-02-22,63.890006313131316
CU-S0041,2019-02-23,60.46944444444444
CU-S0041,2019-02-24,72.76458333333333
CU-S0041,2019-02-25,79.15719065656566
CU-S0041,2019-02-26,67.08876262626262
CU-S0041,2019-02-27,64.89574494949495
CU-S0041,2019-02-28,50.68951388888889
CU-S0041,2019-03-01,36.3441351010101
CU-S0041,2019-03-02,48.331944444444446
CU-S0041,2019-03-03,46.77767361111111
CU-S0041,2019-03-04,54.80618055555556
CU-S0041,2019-03-05,57.8374053030303
CU-S0041,2019-03-06,47.542402146464646
CU-S0041,2019-03-07,78.68149305555555
CU-S0041,2019-03-08,55.660801767676766
CU-S0041,2019-03-09,49.825811237373735
CU-S0041,2019-03-10,44.314936868686864
CU-S0041,2019-03-11,96.60782608695652
CU-S0041,2019-03-12,115.09741161616161
CU-S0041,2019-03-13,139.62402146464646
CU-S0041,2019-03-14,131.7017361111111
CU-S0041,2019-03-15,113.41005366161615
CU-S0041,2019-03-16,85.40643939393941
CU-S0041,2019-03-17,78.88295454545455
CU-S0041,2019-03-18,70.24365530303031
CU-S0041,2019-03-19,35.59439484126984
CU-S0041,2019-03-20,32.90673768939394
CU-S0041,2019-03-21,41.083759469696965
CU-S0041,2019-03-22,69.59045454545455
CU-S0041,2019-03-23,103.64722222222223
CU-S0041,2019-03-24,89.08819444444445
CU-S0041,2019-03-25,40.595125
CU-S0041,2019-03-26,34.73977272727273
CU-S0041,2019-03-27,30.04774621212121
CU-S0041,2019-03-28,27.398539772727272
CU-S0041,2019-03-29,46.093594104308394
CU-S0041,2019-03-30,74.10119047619047
CU-S0041,2019-03-31,69.03542297979799
CU-S0041,2019-04-01,61.16988095238095
CU-S0041,2019-04-09,36.77011111111111
CU-S0041,2019-04-10,46.789251893939394
CU-S0041,2019-04-11,61.95269570707071
CU-S0041,2019-04-12,65.98982638888889
CU-S0041,2019-04-13,45.56041666666667
CU-S0041,2019-04-14,40.05659722222222
CU-S0041,2019-04-15,36.225
CU-S0041,2019-04-16,26.01736111111111
CU-S0041,2019-04-17,32.30625
CU-S0041,2019-04-18,35.63148358585858
CU-S0041,2019-04-19,35.233125
CU-S0041,2019-04-20,47.888888888888886
CU-S0041,2019-04-21,57.16909722222223
